hour_start,hour_end,datetime,rainfall_mm,intensity_mm_per_hr,source_status
0,1,2006-10-30 03:00:00,6.358333333333333,6.358333333333333,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
1,2,2006-10-30 04:00:00,5.547916666666667,5.547916666666667,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
2,3,2006-10-30 05:00:00,4.890833333333333,4.890833333333333,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
3,4,2006-10-30 06:00:00,4.39125,4.39125,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
4,5,2006-10-30 07:00:00,4.466666666666667,4.466666666666667,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
5,6,2006-10-30 08:00:00,11.487499999999999,11.487499999999999,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
6,7,2006-10-30 09:00:00,16.445,16.445,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
7,8,2006-10-30 10:00:00,21.097916666666666,21.097916666666666,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
8,9,2006-10-30 11:00:00,18.340416666666666,18.340416666666666,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
9,10,2006-10-30 12:00:00,17.549583333333334,17.549583333333334,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
10,11,2006-10-30 13:00:00,14.419583333333334,14.419583333333334,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
11,12,2006-10-30 14:00:00,7.7075,7.7075,historical hourly hyetograph: hist_extreme_2001_2025_12h; NASA POWER MERRA-2 PRECTOTCORR converted from mm/day
